id,language,faithfulness,answer_relevancy,semantic_similarity
q0001,pt,0.4,0.7901757709327232,0.7662813308440289
q0002,pt,0.8,0.8365176537748668,0.8962181778491055
q0003,pt,1.0,0.8233732384934959,0.786884942338585
q0004,pt,1.0,0.8890401138934999,0.8030329150612192
q0005,pt,1.0,0.7428354601433634,0.7270616806770194
q0006,pt,1.0,0.9999999999990132,0.7238646166251588
q0007,pt,1.0,0.8803908339824201,0.6891804240861783
q0008,pt,1.0,0.9304877940532824,0.8559681259412376
q0009,pt,1.0,0.9315363097042194,0.9160723478018187
q0010,pt,1.0,0.7584278437111477,0.8637845508366502
q0011,pt,1.0,0.903162762894019,0.9754918810117341
q0012,pt,1.0,0.9240793757209441,0.6852651046866911
q0013,pt,1.0,0.9187221238231897,0.7964355293366223
q0014,pt,1.0,0.8894978943154207,0.9020975585650678
q0015,pt,1.0,0.7652465067016466,0.7114614189811703
q0016,pt,1.0,0.6909401640574306,0.886707911207032
q0017,pt,1.0,0.8507663725195483,0.982491006845508
q0018,pt,1.0,0.8140421872584378,0.8842332701222626
q0019,pt,1.0,0.8165958528513916,0.9300498349381163
q0020,pt,1.0,0.630035782219472,0.8910039016605591
q0021,pt,1.0,0.7653561888031798,0.8955043601668998
q0022,pt,1.0,0.868289271360295,0.8120027188166152
q0023,pt,1.0,0.8308209900366906,0.8538543441856573
q0024,pt,1.0,0.6740991717880699,0.6653875699415963
q0025,pt,1.0,0.9545141526194988,0.7152903914175861
q0026,pt,1.0,0.986647768295394,0.860123122645531
q0027,pt,1.0,0.7985177300020284,0.8484572692067718
q0028,pt,1.0,0.9810553487577746,0.8393688367227674
q0029,pt,1.0,0.6435156897952522,0.8799032324692719
q0030,pt,1.0,0.8246871765962057,0.8864880037440321
q0031,pt,1.0,0.7242323741946737,0.8402697509122866
q0032,pt,1.0,0.7974166434333666,0.8041909500732384
q0033,pt,0.75,0.8431779500031795,0.9065308802840091
q0034,pt,1.0,0.8349673586433471,0.8454106139511489
q0035,pt,1.0,0.9679195712626815,0.7293621798931709
q0036,pt,1.0,0.9731014483418662,0.8247779556552768
q0037,pt,1.0,0.8251270116550584,0.9669534827814679
q0038,pt,0.5,0.9877548610138747,0.6818714132802174
q0039,pt,1.0,0.6780598898047495,0.8511628339428463
q0040,pt,1.0,0.7781692766088866,0.84907798553827
q0041,pt,0.75,0.8971830084192454,0.8116334135033474
q0042,pt,0.5,0.9488025400983582,0.8390105451187565
q0043,pt,1.0,0.5721996582269463,0.7865847837459619
q0044,pt,1.0,0.6426462972445276,0.8200609120607973
q0045,pt,1.0,0.7543174994421961,0.8474165670115392
q0046,pt,0.8,0.7272516677260241,0.8473271957287583
q0047,pt,1.0,0.42860965278703267,0.873374671607625
q0048,pt,1.0,0.6404609136046101,0.9081823318676755
q0049,pt,1.0,0.7077995618627667,0.7451072340554137
q0050,pt,1.0,0.8249405089806915,0.5345049679744575
q0051,en,0.8,0.7514591919791503,0.8870699544496577
q0052,en,1.0,0.9591442437469929,0.8867549181273437
q0053,en,1.0,0.9999999999989756,0.8095475702172915
q0054,en,1.0,0.9340527996388385,0.8021862717988423
q0055,en,1.0,0.7503732740911256,0.8516101308811719
q0056,en,1.0,0.9717327047670955,0.8766846574247975
q0057,en,1.0,0.9223560205892781,0.7008069458269819
q0058,en,1.0,0.9005921791968762,0.848497794814569
q0059,en,1.0,0.9720263156977403,0.9213264406837725
q0060,en,1.0,0.854839097400338,0.8004844680343732
q0061,en,1.0,0.7555123142049843,0.8793042588001159
q0062,en,1.0,0.7502023503656238,0.8767129613085328
q0063,en,1.0,0.8199992286838591,0.8644724550917711
q0064,en,1.0,0.819952589174345,0.7855872428609559
q0065,en,1.0,0.9999999999989838,0.8212497306600145
q0066,en,1.0,0.9139147571820536,0.7047920327339919
q0067,en,1.0,0.8874290597962005,0.8625128113802866
q0068,en,1.0,0.7212926034095583,0.8297428550829186
q0069,en,1.0,0.8620324268924762,0.9010702048195335
q0070,en,0.0,0.0,0.36263465262947214
q0071,pt,1.0,0.9824546229696488,0.8100048552105046
q0072,pt,1.0,0.8556330705454168,0.9630571287471207
q0073,en,1.0,0.5716854671594809,0.9442268056919436
